Date,cpi_headline_index,cpi_headline_yoy
2005-05-01,28.6288552893236,3.740161234514758
2005-06-01,28.73749984443171,3.320237880699136
2005-07-01,29.22643793568991,4.061882606158254
2005-08-01,29.33508249079803,3.448330718752121
2005-09-01,29.44372704590614,3.63288971925024
2005-10-01,29.76966071123048,4.182446809443631
2005-11-01,30.04128463009132,5.33331927330754
2005-12-01,29.87833032851972,5.566240565018572
2006-01-01,29.8239955198751,4.372597895357215
2006-02-01,29.8239955198751,4.571441627166798
2006-03-01,29.8239955198751,4.571441627166798
2006-04-01,30.07461733096648,4.652866442011848
2006-05-01,30.32523914205787,5.925433747142845
2006-06-01,30.82648276424064,7.269188103062137
2006-07-01,31.07710457533203,6.332166252056928
2006-08-01,31.07710457533203,5.938357545374027
2006-09-01,31.32772638642341,6.398644225915759
2006-10-01,31.82897000860625,6.917476545504948
2006-11-01,31.82897000860625,5.950762094655124
2006-12-01,31.82897000860625,6.528610061669305
2007-01-01,31.82897000860625,6.722689075630423
2007-02-01,32.07959181969763,7.563025210084179
2007-03-01,31.82897000860625,6.722689075630423
2007-04-01,32.07959181969763,6.666666666666837
2007-05-01,32.33021363078902,6.611570247934053
2007-06-01,32.58083544188041,5.691056910569296
2007-07-01,33.08207906406318,6.451612903225971
2007-08-01,33.33270087515456,7.258064516129174
2007-09-01,33.33270087515456,6.400000000000165
2007-10-01,33.58332268624595,5.511811023622001
2007-11-01,33.58332268624595,5.511811023622001
2007-12-01,33.58332268624595,5.511811023622001
2008-01-01,33.58332268624595,5.511811023622001
2008-02-01,33.83394449733733,5.468749999999956
2008-03-01,34.33518811952011,7.87401574803144
2008-04-01,34.58580993061149,7.812499999999946
2008-05-01,34.83643174170288,7.75193798449607
2008-06-01,35.08705355279426,7.692307692307607
2008-07-01,35.83891898606842,8.333333333333258
2008-08-01,36.34016260825119,9.022556390977378
2008-09-01,36.59078441934258,9.774436090225503
2008-10-01,37.09202804152535,10.44776119402977
2008-11-01,37.09202804152535,10.44776119402977
2008-12-01,36.84140623043396,9.701492537313344
2009-01-01,37.09202804152535,10.44776119402977
2009-02-01,37.09202804152535,9.629629629629571
2009-03-01,37.09202804152535,8.0291970802919
2009-04-01,37.59327166370812,8.695652173912983
2009-05-01,37.84389347479951,8.633093525179794
2009-06-01,38.34513709698228,9.285714285714231
2009-07-01,40.09948977462198,11.88811188811181
2009-08-01,40.60073339680481,11.72413793103457
2009-09-01,40.8513552078962,11.64383561643844
2009-10-01,41.35259883007897,11.48648648648657
2009-11-01,42.10446426335313,13.51351351351359
2009-12-01,42.35508607444451,14.96598639455789
