Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
ElasticNet,Macro_only,iip_general_yoy,Macroeconomic,0.0,3,3,0.0
ElasticNet,Macro_only,rbi_repo_rate_yoy_diff,Macroeconomic,0.0,4,4,0.0
RandomForest,Climate_only,solar_irradiance_kwm2_anom,Climate,0.014394746239227705,1,1,29.9396090395497
RandomForest,Climate_only,surface_soil_wetness_index,Climate,0.007609411252811563,2,2,15.826801955666243
RandomForest,Climate_only,relative_humidity_2m_pct,Climate,0.005240191458845574,3,3,10.899065600939792
RandomForest,Climate_only,rainfall_total_mm,Climate,0.003813792801900751,4,4,7.9323013792067645
RandomForest,Climate_only,wind_speed_10m_ms,Climate,0.0035571090360576154,5,5,7.398425236590227
RandomForest,Climate_only,rainfall_rate_mm_per_day,Climate,0.0033868087416059167,6,6,7.04421793411557
RandomForest,Climate_only,temp_mean_celsius,Climate,0.002930730085466837,7,7,6.095620686956328
RandomForest,Climate_only,solar_irradiance_kwm2,Climate,0.0020709969616969073,8,8,4.307463176136361
RandomForest,Climate_only,wind_speed_10m_ms_anom,Climate,0.0014051660363271032,9,9,2.922602529014383
RandomForest,Climate_only,relative_humidity_2m_pct_anom,Climate,0.0011380024192407677,10,10,2.366929361024866
RandomForest,Climate_only,surface_soil_wetness_index_anom,Climate,0.0009390343452880195,11,11,1.953095991092733
RandomForest,Climate_only,rainfall_total_mm_anom,Climate,0.0006526197631357945,12,12,1.3573827725091958
RandomForest,Climate_only,temp_mean_celsius_anom,Climate,0.0006486921411063898,13,13,1.3492137179068264
RandomForest,Climate_only,rainfall_rate_mm_per_day_anom,Climate,0.0002919712963414219,14,14,0.6072706192910055
RandomForest,Commodity_only,wpi_primary_food_articles_yoy,Commodity,0.19325058099957904,1,1,27.730485048567573
RandomForest,Commodity_only,wpi_tomato_yoy,Commodity,0.09543770617440261,2,2,13.694830154971807
RandomForest,Commodity_only,wpi_milk_yoy,Commodity,0.06629237068683229,3,3,9.512621305750725
RandomForest,Commodity_only,wpi_moong_yoy,Commodity,0.057020598788269136,4,4,8.182168736465076
RandomForest,Commodity_only,wpi_urad_yoy,Commodity,0.03722302458523809,5,5,5.341316550689472
RandomForest,Commodity_only,wpi_manufactured_food_yoy,Commodity,0.03231188749726121,6,6,4.636593113972326
RandomForest,Commodity_only,wpi_arhar_tur_yoy,Commodity,0.027811815775663214,7,7,3.9908554869608612
RandomForest,Commodity_only,global_fertilizer_index_yoy,Commodity,0.02710425711479931,8,8,3.8893243828131654
RandomForest,Commodity_only,wpi_brinjal_yoy,Commodity,0.02475563347546513,9,9,3.552308719634328
RandomForest,Commodity_only,wpi_onion_yoy,Commodity,0.018086612922092505,10,10,2.5953378593796197
RandomForest,Commodity_only,wpi_mustard_oil_yoy,Commodity,0.016578448360227635,11,11,2.3789238407658058
RandomForest,Commodity_only,wpi_masur_yoy,Commodity,0.011724572549291115,12,12,1.6824171089021007
RandomForest,Commodity_only,wpi_soybean_oil_yoy,Commodity,0.010754408954213387,13,13,1.5432035193293683
RandomForest,Commodity_only,wpi_garlic_yoy,Commodity,0.010045740752384303,14,14,1.4415132016414776
RandomForest,Commodity_only,wpi_maize_yoy,Commodity,0.009866023631277043,15,15,1.4157246999249038
RandomForest,Commodity_only,wpi_rice_yoy,Commodity,0.008508807500413846,16,16,1.220971020893747
RandomForest,Commodity_only,wpi_sugar_yoy,Commodity,0.008400382961965897,17,17,1.2054126457169332
RandomForest,Commodity_only,wpi_gram_chana_yoy,Commodity,0.006956435079088139,18,18,0.9982133971043783
RandomForest,Commodity_only,wpi_cabbage_yoy,Commodity,0.006758814653119082,19,19,0.9698558613118292
RandomForest,Commodity_only,crude_oil_brent_usd_yoy,Commodity,0.006168843300010607,20,20,0.8851979435874142
RandomForest,Commodity_only,palm_oil_usd_yoy,Commodity,0.0049932956853394085,21,21,0.7165127816391044
RandomForest,Commodity_only,wpi_egg_yoy,Commodity,0.004703838898128937,22,22,0.674977190550952
RandomForest,Commodity_only,wpi_potato_yoy,Commodity,0.004493208289743659,23,23,0.6447527591086922
RandomForest,Commodity_only,wpi_groundnut_oil_yoy,Commodity,0.003977255979824912,24,24,0.570716201278075
RandomForest,Commodity_only,wpi_wheat_yoy,Commodity,0.003664006433143054,25,25,0.5257664690402674
RandomForest,Full,temp_mean_celsius_anom,Climate,0.008187968042964235,13,1,1.2821349837426097
RandomForest,Full,solar_irradiance_kwm2_anom,Climate,0.008048478744022626,14,2,1.2602926769465486
RandomForest,Full,wind_speed_10m_ms,Climate,0.0040482077989303,20,3,0.6338994990250572
RandomForest,Full,temp_mean_celsius,Climate,0.003899030328537814,22,4,0.6105401438623578
RandomForest,Full,surface_soil_wetness_index_anom,Climate,0.003450546328443228,25,5,0.5403130712659773
RandomForest,Full,relative_humidity_2m_pct,Climate,0.0033394891752814445,27,6,0.5229228884371695
RandomForest,Full,wind_speed_10m_ms_anom,Climate,0.003194997249861341,29,7,0.500297231927844
RandomForest,Full,rainfall_total_mm_anom,Climate,0.0030092424471911666,32,8,0.4712103168773774
RandomForest,Full,rainfall_rate_mm_per_day_anom,Climate,0.0025358507230577466,34,9,0.39708300136504704
RandomForest,Full,surface_soil_wetness_index,Climate,0.0025033346655290076,35,10,0.39199138709979514
RandomForest,Full,rainfall_rate_mm_per_day,Climate,0.0020359622809167253,36,11,0.318806626045247
RandomForest,Full,solar_irradiance_kwm2,Climate,0.001991658741000683,37,12,0.31186923716781917
RandomForest,Full,rainfall_total_mm,Climate,0.0019664233489590363,38,13,0.30791768547693815
RandomForest,Full,relative_humidity_2m_pct_anom,Climate,0.0014498054446945542,41,14,0.22702168236485368
RandomForest,Full,wpi_primary_food_articles_yoy,Commodity,0.16937693722798358,1,1,26.52234296954526
RandomForest,Full,wpi_tomato_yoy,Commodity,0.0804019267306352,2,2,12.589951802539998
RandomForest,Full,wpi_moong_yoy,Commodity,0.054686526908166354,3,3,8.563236803127312
RandomForest,Full,wpi_milk_yoy,Commodity,0.05329936532590632,4,4,8.346024378336818
RandomForest,Full,wpi_manufactured_food_yoy,Commodity,0.03358089197871189,5,5,5.258354229677856
RandomForest,Full,wpi_urad_yoy,Commodity,0.03207307307499114,6,6,5.022248353901998
RandomForest,Full,global_fertilizer_index_yoy,Commodity,0.026586333513641914,7,7,4.163092492352778
RandomForest,Full,wpi_arhar_tur_yoy,Commodity,0.02262681841625498,8,8,3.543081178388372
RandomForest,Full,wpi_brinjal_yoy,Commodity,0.016905381293091364,9,9,2.647174568299056
RandomForest,Full,wpi_onion_yoy,Commodity,0.015528035089728356,10,10,2.4314991109950648
RandomForest,Full,wpi_soybean_oil_yoy,Commodity,0.014174850375328733,11,11,2.2196070453819936
RandomForest,Full,wpi_mustard_oil_yoy,Commodity,0.010289347085387857,12,12,1.611185069216501
RandomForest,Full,wpi_garlic_yoy,Commodity,0.006078158928388747,15,13,0.9517648527623527
RandomForest,Full,wpi_maize_yoy,Commodity,0.006012409214817278,16,14,0.9414692571397644
RandomForest,Full,wpi_rice_yoy,Commodity,0.005413673056137047,17,15,0.8477145464413968
RandomForest,Full,wpi_masur_yoy,Commodity,0.005155559079520083,18,16,0.807297075650472
RandomForest,Full,wpi_gram_chana_yoy,Commodity,0.0046546046325559535,19,17,0.7288537771002229
RandomForest,Full,wpi_egg_yoy,Commodity,0.004029339380618198,21,18,0.6309449370288579
RandomForest,Full,wpi_cabbage_yoy,Commodity,0.0036380809513025707,23,19,0.5696786842445904
RandomForest,Full,wpi_sugar_yoy,Commodity,0.003529643025841971,24,20,0.5526986402253693
RandomForest,Full,crude_oil_brent_usd_yoy,Commodity,0.003448031748058222,26,21,0.5399193189376668
RandomForest,Full,wpi_groundnut_oil_yoy,Commodity,0.002603633324126365,33,22,0.4076969221404001
RandomForest,Full,wpi_wheat_yoy,Commodity,0.00146096931734275,40,23,0.2287698073698845
RandomForest,Full,palm_oil_usd_yoy,Commodity,0.0010176741300737316,42,24,0.15935523897635925
RandomForest,Full,wpi_potato_yoy,Commodity,0.0009833412139467657,43,25,0.153979127024126
RandomForest,Full,iip_general_yoy,Macroeconomic,0.003332559312307414,28,1,0.5218377572171983
RandomForest,Full,m3_money_supply_yoy,Macroeconomic,0.0031287230615866463,30,2,0.4899195100241605
RandomForest,Full,USA_CPI,Macroeconomic,0.0030727266633566452,31,3,0.4811511634994133
RandomForest,Full,rbi_repo_rate_yoy_diff,Macroeconomic,0.0018702041963732702,39,4,0.29285095085011154
RandomForest,Macro_only,m3_money_supply_yoy,Macroeconomic,0.07707672387914001,1,1,49.04908903743254
RandomForest,Macro_only,USA_CPI,Macroeconomic,0.028396678605268268,2,2,18.07071119760078
RandomForest,Macro_only,iip_general_yoy,Macroeconomic,0.027320650550703006,3,3,17.385962375921416
RandomForest,Macro_only,rbi_repo_rate_yoy_diff,Macroeconomic,0.024347955902746382,4,4,15.494237389045256
SVR,Climate_only,surface_soil_wetness_index,Climate,0.9774459326491941,1,1,26.456996083018524
SVR,Climate_only,relative_humidity_2m_pct,Climate,0.486651091388166,2,2,13.172417612662327
SVR,Climate_only,temp_mean_celsius,Climate,0.47793471470694976,3,3,12.936487280344073
SVR,Climate_only,solar_irradiance_kwm2,Climate,0.4199615813791173,4,4,11.367300780976587
SVR,Climate_only,surface_soil_wetness_index_anom,Climate,0.2782280285045518,5,5,7.530930984980413
SVR,Climate_only,wind_speed_10m_ms,Climate,0.19108990275673113,6,6,5.1723217007377
SVR,Climate_only,solar_irradiance_kwm2_anom,Climate,0.1659121891220142,7,7,4.490824495866582
