rainfall_total_mm,rainfall_rate_mm_per_day,temp_mean_celsius,relative_humidity_2m_pct,surface_soil_wetness_index,wind_speed_10m_ms,solar_irradiance_kwm2,rainfall_total_mm_anom,rainfall_rate_mm_per_day_anom,temp_mean_celsius_anom,relative_humidity_2m_pct_anom,surface_soil_wetness_index_anom,wind_speed_10m_ms_anom,solar_irradiance_kwm2_anom,USA_CPI,iip_general_yoy,m3_money_supply_yoy,rbi_repo_rate_yoy_diff,wpi_primary_food_articles_yoy,wpi_manufactured_food_yoy,wpi_wheat_yoy,wpi_rice_yoy,wpi_maize_yoy,wpi_gram_chana_yoy,wpi_arhar_tur_yoy,wpi_moong_yoy,wpi_urad_yoy,wpi_masur_yoy,wpi_tomato_yoy,wpi_onion_yoy,wpi_potato_yoy,wpi_brinjal_yoy,wpi_cabbage_yoy,wpi_garlic_yoy,wpi_mustard_oil_yoy,wpi_soybean_oil_yoy,wpi_groundnut_oil_yoy,wpi_milk_yoy,wpi_egg_yoy,wpi_sugar_yoy,crude_oil_brent_usd_yoy,palm_oil_usd_yoy,global_fertilizer_index_yoy,cpi_headline_yoy_lag1,cpi_headline_yoy_lag12,cpi_headline_yoy
16.2,0.5399999999999999,22.366,56.28875433,0.57017301,3.177820069,15.48321799,-0.646177559737688,-0.6461775597376884,-0.08043944649821637,-1.3491394458628463,-1.7241824310937257,-1.124339753993947,-0.013289596772984072,2.198421645997739,4.048660894348233,15.08337844124803,-1.0,1.8267875843862136,4.823439973385835,1.3072081567353069,-0.8353270528970391,17.261274266699367,-14.008879317068155,11.5661501294956,-0.5197271325608099,-12.147989753770982,8.876037582884022,-29.29639352002216,-10.937007805582866,4.506958767919489,-10.956220251152615,-36.45370184204442,20.860741906487945,22.965823233540306,40.62310981877473,22.796574269597425,3.84549008326891,-7.734705636095018,-11.447724752188382,24.71907111,36.43850824,-1.149437943,4.059832851287288,4.88892925938106,3.601613532245662
4.9,0.1580645161290322,19.4116,53.67570934,0.52,3.539653979,14.35487889,-1.532857351601906,-1.532857351601906,0.6307576011128425,-1.4385147146924586,-1.6352933890530041,-0.6725896489036828,0.7763159682717007,2.376910016977928,5.972741804116222,14.807942386519102,-1.0,-0.5624311788932523,4.307529986211023,1.7509625536478168,0.1207000750035547,18.519453229767933,-20.2927137950268,13.31821696421014,-2.152725009916701,-11.289399718887829,6.342451617493738,-97.03579531444304,-25.07003662413468,-55.10357733123055,-6.155789299943315,-25.015129933325973,6.56832218193073,29.21472716709808,43.21130495910559,25.59333741372005,3.4241834113385217,-0.6099646156723537,-13.385103462820291,42.67425066,30.6258458,-0.841519693,3.601613532245662,5.156973517685098,3.198228594699483
7.4,0.2387096774193548,17.8009,52.1349827,0.499238754,3.570380623,14.94079585,-0.9266912802714318,-0.9266912802714321,-0.7405485422181972,-1.0666765171832226,-1.1091251102504893,-0.7711244943855715,-0.12352588854670869,2.597402597402599,6.510365254566075,14.958732893089888,-1.0,1.0262347761342827,4.885548308908039,2.9463887706428604,2.6880054533688025,16.18911174022348,-21.88547670419925,9.855403422604205,2.989686034246253,-9.579969600892737,0.3807715214561913,-68.41036406636248,-8.20131516608349,-62.69679699649146,5.681845123256091,-10.557670850268508,7.536596275304541,29.78470806292428,42.69469969240642,30.2810954048081,3.184231286609452,-1.1093099073524293,-13.653891368847804,47.00036292,26.19528265,2.724964245,3.198228594699483,4.943861624001274,3.426099446880644
40.8,1.457142857142857,20.6571,57.15477509,0.509792388,3.71799308,17.54692042,1.658355001213771,1.6565206483405546,-0.30937039911693226,0.7668739108799545,0.11929163480088803,-0.07205213095266726,-1.08013305899154,2.980877390326219,6.754339715721525,14.667573591795955,-1.0,1.812054111319528,5.374427600669041,2.8406254159732747,3.286966632976007,16.79019772547403,-16.119188448836308,17.589066646366412,1.31677103746477,-7.681235330595326,2.939993635672433,-28.67982898047732,4.272494466634136,-38.61676981633448,5.283341482134718,-24.205899830674586,-6.431996578755905,29.68449853733009,42.923532744207634,36.57314429046519,2.9448535541105603,-3.177016099634322,-14.44309771392751,47.36914023,30.1048434,12.05646786,3.426099446880644,5.191865173257153,3.862622278586751
34.6,1.1161290322580646,24.7423,50.92557093,0.482802768,3.700761246,21.02723183,0.49217506672531824,0.49217506672531874,-0.19342307684997417,-0.2199222174487898,-0.04791842258297195,0.9297381685647931,-0.25954100975949523,3.020134228187927,5.697743474254047,13.676970074133266,-1.0,1.4120539618018402,7.238472513069105,0.8372920810578499,4.121795572123155,13.714401292148182,-10.54308861585418,18.8602752394289,0.7269234820528325,-8.513948845682107,4.806307051823255,-43.19786744400367,4.78560211776351,-49.05832110624311,13.600437063087956,-13.470303892141322,0.4424785980355672,33.17674809739684,42.79379639602227,33.99655104910426,2.11151539819614,-12.588853628499308,-15.914195547521716,24.56726644,23.47748096,19.14321449,3.862622278586751,5.168520874389913,4.059832851287288
34.0,1.1333333333333333,28.4882,48.54892734,0.451799308,3.860276817,23.42314879,-0.5061729730063026,-0.5061729730063025,0.09993201031248457,-0.9805745075285982,-0.9352365120796081,0.7609478177566968,0.7196772133246379,2.224694104560627,4.1061486797774105,13.806727542050012,-1.0,1.5660275298758464,9.044249096683554,2.002928187557273,3.568567346918261,10.154799702322936,-4.737015501448516,16.46283709206786,-2.1373409200562854,-10.431924974669116,3.346392554727995,-38.761386649038656,20.65456599051721,-57.83510239313858,1.3905206667612635,-6.800129976465641,-18.810827981660072,41.30186480090732,41.365272362774654,32.368357196660426,0.6404679826242266,-2.135855410387854,-13.86270831650296,-2.761516703,20.74657386,15.45770282,4.059832851287288,4.687517860366372,5.117283792743193
37.9,1.2225806451612902,30.3115,49.88041522,0.44899654,4.481868512,22.9933218,-1.6300198208847592,-1.630019820884759,-0.5203499126703794,-2.7906475006925198,-2.120078271898789,1.0364735970974226,-0.48482305178822377,2.057842046718575,6.1875403718087085,10.599592557230151,-1.0,2.012365280939488,10.797279484855604,1.905919661544076,4.453202690809466,9.0405045405066,-2.847650044095751,13.463547358936845,-4.524351977813224,-12.398437141879448,5.337748679069554,-35.4010847925498,39.07672742724717,-69.73979839851397,24.96969592667253,4.0418613448026,-18.66380516664452,49.428795357892994,40.65768369608547,27.43022471417613,0.932951373348878,-1.66077363996604,-13.309727062942578,1.56253179,16.48538638,18.08411716,5.117283792743193,4.656367874298356,4.660946127297721
164.6,5.486666666666666,29.7028,61.17307958,0.532768166,5.046816609,20.19086505,0.06362662811687035,0.06362662811687034,0.11558004584800186,-0.8806190498244166,-1.4331932674278682,0.88883988949464,-0.28925131736396004,2.112284602556985,6.465133065881412,11.316828306363648,-1.0,3.126111428374534,8.356507834604265,2.412523668862576,5.037035938894974,7.840836900172166,-2.306750856953377,8.1728630619601,-5.482141815140196,-14.066523947075371,3.761762321911899,-32.76636492996592,20.33749659917867,-53.99764126190352,5.299891469499585,44.727741182727065,-18.24034937844545,35.40302171547367,21.49923390835027,22.72008829713874,1.815569636176084,3.339828040184756,-11.317473257018884,13.19741642,8.974628786,18.52243165,4.660946127297721,4.157562178793872,4.411751878088727
303.7,9.796774193548387,27.6963,73.40013841,0.674740484,4.653944637,18.53138408,0.7484471893968678,0.7484471893968682,-1.1058605938348196,0.13850407045010862,-0.36859777037945374,-0.7298888802046692,0.22082804936914363,2.109938922820652,6.370144213031015,11.265489697142073,-1.0,1.0033528989577878,8.374660099149,2.181487196827625,3.2518384001694933,0.6479504310986428,-2.2689182320445145,9.36750474614998,-0.0971817374832539,-10.963450709247846,5.960795976896804,-30.644434890730388,11.07457089358066,-47.42601360886836,6.016852146645313,12.007790251152706,-17.98885676328905,31.12206559954691,4.934587410315494,23.70490620103052,0.4653876927889211,-2.928466954517539,-5.725061797997944,9.601465324,8.186387008,21.50181439,4.411751878088727,3.887750750307948,4.157950518173136
248.3,8.009677419354839,27.2896,75.67626298,0.701072664,4.487716263,18.02754325,-0.053731629309619,-0.05373162930961901,-0.5125780226309036,-0.3254433250884687,-0.9591643624050866,0.3742583903843238,-0.27511881586698633,2.158273381294958,5.589939473993155,10.952156650761324,-1.5,-1.0541012997791643,6.096414836878683,1.7192400540372963,2.585337882633354,-10.649494572843832,-7.507827583273974,4.069981234648257,-1.5081774557321737,-11.535584999877235,4.747582543780293,-28.89850042321971,7.688514268821489,-65.99406042406119,-6.514946647696807,4.347472292300747,-14.245054285365288,26.47717602657922,4.901093909029797,10.319601264825362,2.4083732839467853,-10.147639995867808,-0.3951012646679963,11.35971777,-1.581953894,15.45419927,4.157950518173136,3.862622278586751,3.099207230530357
